Data;Histórico;Valor
02/03/2026;Starbucks Cafe;-17,83
03/03/2026;Cinemark;-66,29
03/03/2026;Sabesp Agua;-308,04
05/03/2026;Restituicao IR;7.722,66
08/03/2026;Vivo Fibra Internet;-190,27
09/03/2026;Spotify;-23,94
09/03/2026;Magazine Luiza;-83,30
09/03/2026;Starbucks Cafe;-58,07
10/03/2026;Aluguel Imobiliaria;-1.622,47
12/03/2026;Steam Games;-62,96
15/03/2026;Enel Energia;-170,04
17/03/2026;Enel Energia;-234,59
18/03/2026;Hortifruti;-74,95
18/03/2026;Amazon.com.br;-134,94
20/03/2026;Ingresso Show;-50,71
20/03/2026;Drogaria Raia;-166,05
23/03/2026;Steam Games;-24,39
24/03/2026;Enel Energia;-89,72
25/03/2026;Drogaria Raia;-205,34
27/03/2026;Sabesp Agua;-282,81
27/03/2026;Carrefour;-48,99
01/04/2026;Enel Energia;-80,59
01/04/2026;Estacionamento Shopping;-76,67
02/04/2026;Farmacia Pacheco;-75,40
03/04/2026;Enel Energia;-158,04
03/04/2026;Estacionamento Shopping;-62,42
04/04/2026;Unimed;-87,51
05/04/2026;Restituicao IR;9.252,74
05/04/2026;Farmacia Pacheco;-106,00
05/04/2026;Shopee;-124,33
05/04/2026;Padaria Sao Joao;-77,68
08/04/2026;Magazine Luiza;-399,00
10/04/2026;Aluguel Imobiliaria;-1.494,40
12/04/2026;Supermercado Pao de Acucar;-286,04
13/04/2026;Amazon.com.br;-168,11
13/04/2026;Sabesp Agua;-348,59
17/04/2026;Spotify;-75,95
17/04/2026;Farmacia Pacheco;-229,90
17/04/2026;Posto Ipiranga;-70,82
18/04/2026;Google One;-53,04
18/04/2026;Mercado Livre;-308,22
20/04/2026;Uber *Trip;-31,34
21/04/2026;Padaria Sao Joao;-30,20
22/04/2026;Supermercado Pao de Acucar;-287,74
24/04/2026;Sabesp Agua;-229,53
24/04/2026;iFood *Restaurante;-61,17
02/05/2026;Supermercado Pao de Acucar;-152,73
03/05/2026;Amazon Prime;-32,16
04/05/2026;Mercado Livre;-61,35
05/05/2026;Restituicao IR;7.617,75
06/05/2026;Amazon.com.br;-167,11
07/05/2026;Amazon Prime;-24,84
08/05/2026;Cinemark;-40,86
10/05/2026;Aluguel Imobiliaria;-1.420,22
14/05/2026;Magazine Luiza;-179,16
14/05/2026;Amazon Prime;-19,17
16/05/2026;Estacionamento Shopping;-42,66
17/05/2026;Cinemark;-47,13
18/05/2026;Amazon Prime;-16,62
21/05/2026;iFood *Restaurante;-109,93
23/05/2026;Clinica Odontologica;-240,18
25/05/2026;Supermercado Pao de Acucar;-277,63
26/05/2026;Amazon Prime;-33,65
26/05/2026;Magazine Luiza;-319,42
